ID,name,description
11111111-1111-1111-1111-111111111111,Electronics,Electronic devices and accessories
22222222-2222-2222-2222-222222222222,Furniture,Office and home furniture
33333333-3333-3333-3333-333333333333,Accessories,Small accessories
44444444-4444-4444-4444-444444444444,Kitchen,Kitchen and dining supplies
55555555-5555-5555-5555-555555555555,Sporting Goods,Sports and outdoor equipment
66666666-6666-6666-6666-666666666666,Stationery,Office and school supplies
77777777-7777-7777-7777-777777777777,Lighting,Lamps and lighting fixtures
88888888-8888-8888-8888-888888888888,Storage,Storage and organization
99999999-9999-9999-9999-999999999999,Cleaning Supplies,Cleaning and maintenance products
10101010-1010-1010-1010-101010101010,Bags,Bags and carrying cases
